State,Year,Quarter,Districts,Transaction_count,Transaction_amount
arunachal-pradesh,2018,2,lohit,6962,205.21
arunachal-pradesh,2018,2,east siang,6363,152.86
arunachal-pradesh,2018,2,changlang,6066,132.94
arunachal-pradesh,2018,2,tawang,5447,137.22
arunachal-pradesh,2018,2,longding,4634,102.71
arunachal-pradesh,2018,2,namsai,3230,62.72
arunachal-pradesh,2018,2,west siang,2579,76.11
arunachal-pradesh,2018,2,lower siang,2292,21.79
arunachal-pradesh,2018,3,papum pare,43282,1010.8
arunachal-pradesh,2018,3,west kameng,17026,485.28
arunachal-pradesh,2018,3,lohit,11595,327.02
arunachal-pradesh,2018,3,east siang,10539,248.85
arunachal-pradesh,2018,3,changlang,10162,204.94
arunachal-pradesh,2018,3,tawang,8715,257.34
arunachal-pradesh,2018,3,longding,5288,183.27
arunachal-pradesh,2018,3,namsai,5076,106.98
arunachal-pradesh,2018,3,west siang,3337,129.66
arunachal-pradesh,2018,3,tirap,3322,74.79
arunachal-pradesh,2018,4,papum pare,55224,1548.75
arunachal-pradesh,2018,4,west kameng,25439,891.95
arunachal-pradesh,2018,4,lohit,14268,405.11
arunachal-pradesh,2018,4,changlang,13950,323.43
arunachal-pradesh,2018,4,east siang,12893,342.72
arunachal-pradesh,2018,4,tawang,11104,359.22
arunachal-pradesh,2018,4,namsai,7244,176.44
arunachal-pradesh,2018,4,longding,6581,225.45
arunachal-pradesh,2018,4,tirap,5725,108.12
arunachal-pradesh,2018,4,lower dibang valley,4227,109.51
arunachal-pradesh,2019,1,papum pare,70941,1885.57
arunachal-pradesh,2019,1,west kameng,34289,1013.34
arunachal-pradesh,2019,1,changlang,17589,402.39
arunachal-pradesh,2019,1,lohit,15896,428.35
arunachal-pradesh,2019,1,east siang,15621,392.84
arunachal-pradesh,2019,1,tawang,13102,394.9
arunachal-pradesh,2019,1,namsai,8600,200.66
arunachal-pradesh,2019,1,longding,7287,253.49
arunachal-pradesh,2019,1,tirap,6877,140.76
arunachal-pradesh,2019,1,lower dibang valley,6314,137.39
arunachal-pradesh,2019,2,papum pare,86433,2466.41
arunachal-pradesh,2019,2,west kameng,37430,1225.21
arunachal-pradesh,2019,2,lohit,18693,488.94
arunachal-pradesh,2019,2,changlang,18631,488.91
arunachal-pradesh,2019,2,east siang,16494,465.5
arunachal-pradesh,2019,2,tawang,15960,559.16
arunachal-pradesh,2019,2,namsai,9637,224.91
arunachal-pradesh,2019,2,west siang,8041,245.5
arunachal-pradesh,2019,2,tirap,6868,186.34
arunachal-pradesh,2019,2,longding,6744,234.64
arunachal-pradesh,2019,3,papum pare,117940,3015.18
arunachal-pradesh,2019,3,west kameng,53939,1471.86
arunachal-pradesh,2019,3,changlang,29218,583.55
arunachal-pradesh,2019,3,lohit,24505,545.39
arunachal-pradesh,2019,3,tawang,24097,722.21
arunachal-pradesh,2019,3,east siang,22611,580.4
arunachal-pradesh,2019,3,namsai,13453,255.08
arunachal-pradesh,2019,3,west siang,11889,300.15
arunachal-pradesh,2019,3,tirap,11249,217.38
arunachal-pradesh,2019,3,longding,10269,266.2
arunachal-pradesh,2019,4,papum pare,143272,3788.38
arunachal-pradesh,2019,4,west kameng,66740,1982.06
arunachal-pradesh,2019,4,changlang,33963,718.75
arunachal-pradesh,2019,4,tawang,30077,919.49
arunachal-pradesh,2019,4,lohit,29281,675.02
arunachal-pradesh,2019,4,east siang,26605,720.75
arunachal-pradesh,2019,4,namsai,18290,325.01
arunachal-pradesh,2019,4,tirap,16459,384.68
arunachal-pradesh,2019,4,west siang,14581,394.6
arunachal-pradesh,2019,4,lower subansiri,11806,296.34
arunachal-pradesh,2020,1,papum pare,180373,4574.31
arunachal-pradesh,2020,1,west kameng,75363,1987.12
arunachal-pradesh,2020,1,changlang,43858,934.61
arunachal-pradesh,2020,1,lohit,36985,837.01
arunachal-pradesh,2020,1,east siang,33743,820.12
arunachal-pradesh,2020,1,tawang,31865,844.25
arunachal-pradesh,2020,1,namsai,23112,464.45
arunachal-pradesh,2020,1,west siang,19728,479.29
arunachal-pradesh,2020,1,tirap,18369,408.78
arunachal-pradesh,2020,1,lower subansiri,15770,342.73
arunachal-pradesh,2020,2,papum pare,221728,5350.86
arunachal-pradesh,2020,2,west kameng,95421,2513.96
arunachal-pradesh,2020,2,changlang,69279,1285.72
arunachal-pradesh,2020,2,lohit,56541,1147.31
arunachal-pradesh,2020,2,east siang,55680,1126.94
arunachal-pradesh,2020,2,tawang,44499,1215.62
arunachal-pradesh,2020,2,namsai,34972,548.71
arunachal-pradesh,2020,2,west siang,32777,727.9
arunachal-pradesh,2020,2,tirap,28830,634.97
arunachal-pradesh,2020,2,lower dibang valley,26234,423.6
arunachal-pradesh,2020,3,papum pare,298350,8593.74
arunachal-pradesh,2020,3,west kameng,111029,3328.12
arunachal-pradesh,2020,3,changlang,73842,1591.58
arunachal-pradesh,2020,3,east siang,69710,1763.24
arunachal-pradesh,2020,3,lohit,65889,1565.24
arunachal-pradesh,2020,3,tawang,56016,1821.38
arunachal-pradesh,2020,3,namsai,37019,764.85
arunachal-pradesh,2020,3,west siang,34295,924.5
arunachal-pradesh,2020,3,tirap,30046,815.4
arunachal-pradesh,2020,3,lower dibang valley,27655,634.69
arunachal-pradesh,2020,4,papum pare,390528,12059.18
arunachal-pradesh,2020,4,west kameng,129575,3904.36
arunachal-pradesh,2020,4,east siang,88632,2505.15
arunachal-pradesh,2020,4,changlang,84852,2043.68
arunachal-pradesh,2020,4,lohit,80530,1969.98
