State,Year,Quarter,District,Count,Amount
andhra-pradesh,2024,2,spsr nellore district,121146667,2084603.55
andhra-pradesh,2024,2,vizianagaram district,64618416,1067670.8
andhra-pradesh,2024,2,visakhapatnam district,260339876,3784020.15
andhra-pradesh,2024,2,prakasam district,112437837,2027313.7
andhra-pradesh,2024,2,anantapur district,136536485,2257238.8
andhra-pradesh,2024,2,ysr district,103280919,2000941.07
andhra-pradesh,2024,2,west godavari district,143617131,2494932.85
andhra-pradesh,2024,2,kurnool district,127978397,2139908.09
andhra-pradesh,2024,2,chittoor district,194201427,3076197.65
andhra-pradesh,2024,2,guntur district,191134818,3140567.19
andhra-pradesh,2024,2,krishna district,206843456,3351274.19
arunachal-pradesh,2018,1,lower dibang valley district,1356,10.76
arunachal-pradesh,2018,1,lower subansiri district,1477,36.51
arunachal-pradesh,2018,1,longding district,2321,43.62
arunachal-pradesh,2018,1,west siang district,1887,47.97
arunachal-pradesh,2018,1,kamle district,14,0.08
arunachal-pradesh,2018,1,upper siang district,126,1.87
arunachal-pradesh,2018,1,tirap district,945,10.64
arunachal-pradesh,2018,1,papum pare district,14224,325.56
arunachal-pradesh,2018,1,kurung kumey district,84,0.99
arunachal-pradesh,2018,1,siang district,252,3.39
arunachal-pradesh,2018,1,lower siang district,1292,23.38
arunachal-pradesh,2018,1,kra daadi district,207,4.95
arunachal-pradesh,2018,1,changlang district,3195,53.81
arunachal-pradesh,2018,1,pakke kessang district,9,0.09
arunachal-pradesh,2018,1,dibang valley district,2,0.0
arunachal-pradesh,2018,1,west kameng district,5787,95.41
arunachal-pradesh,2018,1,east siang district,3286,55.34
arunachal-pradesh,2018,1,upper subansiri district,735,13.58
arunachal-pradesh,2018,1,east kameng district,529,4.74
arunachal-pradesh,2018,1,lohit district,3747,114.97
arunachal-pradesh,2018,1,lepa rada district,288,4.03
arunachal-pradesh,2018,1,tawang district,2334,50.56
arunachal-pradesh,2018,1,namsai district,1400,21.63
arunachal-pradesh,2018,2,lower dibang valley district,1827,25.61
arunachal-pradesh,2018,2,lower subansiri district,1666,41.14
arunachal-pradesh,2018,2,longding district,4634,102.71
arunachal-pradesh,2018,2,west siang district,2579,76.11
arunachal-pradesh,2018,2,kamle district,12,0.24
arunachal-pradesh,2018,2,upper siang district,240,4.95
arunachal-pradesh,2018,2,tirap district,1903,31.26
arunachal-pradesh,2018,2,papum pare district,25363,665.21
arunachal-pradesh,2018,2,kurung kumey district,83,1.24
arunachal-pradesh,2018,2,anjaw district,7,0.08
arunachal-pradesh,2018,2,siang district,336,7.4
arunachal-pradesh,2018,2,lower siang district,2292,21.79
arunachal-pradesh,2018,2,kra daadi district,247,9.87
arunachal-pradesh,2018,2,changlang district,6066,132.94
arunachal-pradesh,2018,2,pakke kessang district,48,0.58
arunachal-pradesh,2018,2,dibang valley district,68,0.66
arunachal-pradesh,2018,2,west kameng district,10466,255.21
arunachal-pradesh,2018,2,east siang district,6363,152.86
arunachal-pradesh,2018,2,upper subansiri district,1285,29.12
arunachal-pradesh,2018,2,east kameng district,522,18.25
arunachal-pradesh,2018,2,lohit district,6962,205.21
arunachal-pradesh,2018,2,lepa rada district,511,7.31
arunachal-pradesh,2018,2,tawang district,5447,137.22
