State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
andhra-pradesh,2021,1,Peer-to-peer payments,149313738,5805421.93
andhra-pradesh,2021,1,Merchant payments,97920281,708131.93
andhra-pradesh,2021,1,Recharge & bill payments,41940689,205464.25
andhra-pradesh,2021,1,Financial Services,225355,2703.13
andhra-pradesh,2021,1,Others,347907,2725.46
andhra-pradesh,2021,2,Peer-to-peer payments,189614879,7370044.84
andhra-pradesh,2021,2,Merchant payments,112875274,885124.29
andhra-pradesh,2021,2,Recharge & bill payments,49626902,246468.0
andhra-pradesh,2021,2,Financial Services,243237,2654.83
andhra-pradesh,2021,2,Others,406842,3083.02
andhra-pradesh,2021,3,Peer-to-peer payments,221280317,8378411.25
andhra-pradesh,2021,3,Merchant payments,158290953,1181643.78
andhra-pradesh,2021,3,Recharge & bill payments,51702350,275113.45
andhra-pradesh,2021,3,Financial Services,211171,2972.4
andhra-pradesh,2021,3,Others,547759,4039.48
andhra-pradesh,2021,4,Peer-to-peer payments,262006450,9712697.65
andhra-pradesh,2021,4,Merchant payments,207538904,1528839.34
andhra-pradesh,2021,4,Recharge & bill payments,51762842,312327.85
andhra-pradesh,2021,4,Financial Services,243951,3327.4
andhra-pradesh,2021,4,Others,701856,5452.23
andhra-pradesh,2022,1,Peer-to-peer payments,288488560,10896291.83
andhra-pradesh,2022,1,Merchant payments,242031836,1694196.86
andhra-pradesh,2022,1,Recharge & bill payments,51224170,344730.37
andhra-pradesh,2022,1,Financial Services,231651,3243.59
andhra-pradesh,2022,1,Others,627694,4743.82
andhra-pradesh,2022,2,Peer-to-peer payments,321362337,12314089.27
andhra-pradesh,2022,2,Merchant payments,292530048,2054336.61
andhra-pradesh,2022,2,Recharge & bill payments,56606969,424085.42
andhra-pradesh,2022,2,Financial Services,192751,2457.83
andhra-pradesh,2022,2,Others,441925,3570.36
andhra-pradesh,2022,3,Peer-to-peer payments,298804000,11401645.26
andhra-pradesh,2022,3,Merchant payments,291033653,2029108.21
andhra-pradesh,2022,3,Recharge & bill payments,52467708,414387.65
andhra-pradesh,2022,3,Financial Services,187190,2393.47
andhra-pradesh,2022,3,Others,362484,3239.51
andhra-pradesh,2022,4,Merchant payments,321632104,2118988.51
andhra-pradesh,2022,4,Peer-to-peer payments,315734006,11702495.86
andhra-pradesh,2022,4,Recharge & bill payments,52098850,419868.38
andhra-pradesh,2022,4,Financial Services,206459,2505.97
andhra-pradesh,2022,4,Others,345658,3392.11
andhra-pradesh,2023,1,Merchant payments,540680395,3116067.32
andhra-pradesh,2023,1,Peer-to-peer payments,514931308,18578181.69
andhra-pradesh,2023,1,Recharge & bill payments,89143939,788179.9
andhra-pradesh,2023,1,Financial Services,288150,3312.33
andhra-pradesh,2023,1,Others,488672,4771.93
andhra-pradesh,2023,2,Merchant payments,634303064,3496028.25
andhra-pradesh,2023,2,Peer-to-peer payments,573455382,20672880.69
andhra-pradesh,2023,2,Recharge & bill payments,97202487,883521.83
andhra-pradesh,2023,2,Financial Services,316533,3860.71
andhra-pradesh,2023,2,Others,379498,4099.39
andhra-pradesh,2023,3,Merchant payments,750265405,3950421.64
andhra-pradesh,2023,3,Peer-to-peer payments,623202203,21634647.31
andhra-pradesh,2023,3,Recharge & bill payments,101000645,940777.75
andhra-pradesh,2023,3,Financial Services,361584,4667.91
andhra-pradesh,2023,3,Others,334566,3626.37
andhra-pradesh,2023,4,Merchant payments,822516631,4276772.36
andhra-pradesh,2023,4,Peer-to-peer payments,673002314,22707669.49
andhra-pradesh,2023,4,Recharge & bill payments,100733697,1031869.54
andhra-pradesh,2023,4,Financial Services,431705,5352.03
andhra-pradesh,2023,4,Others,303079,3486.36
andhra-pradesh,2024,1,Merchant payments,926373997,4684625.43
andhra-pradesh,2024,1,Peer-to-peer payments,721764113,24366657.36
andhra-pradesh,2024,1,Recharge & bill payments,106564415,1066469.57
andhra-pradesh,2024,1,Financial Services,427720,6341.84
andhra-pradesh,2024,1,Others,298240,3162.49
andhra-pradesh,2024,2,Merchant payments,1068247800,5263631.6
andhra-pradesh,2024,2,Peer-to-peer payments,748553253,25451334.36
andhra-pradesh,2024,2,Recharge & bill payments,112475183,1093016.94
andhra-pradesh,2024,2,Financial Services,558924,7999.16
andhra-pradesh,2024,2,Others,287140,3242.14
arunachal-pradesh,2018,1,Recharge & bill payments,28729,51.84
arunachal-pradesh,2018,1,Peer-to-peer payments,13320,828.9
arunachal-pradesh,2018,1,Merchant payments,1042,24.2
arunachal-pradesh,2018,1,Financial Services,416,0.59
arunachal-pradesh,2018,1,Others,1990,18.34
arunachal-pradesh,2018,2,Recharge & bill payments,50700,104.69
arunachal-pradesh,2018,2,Peer-to-peer payments,26477,1815.76
arunachal-pradesh,2018,2,Merchant payments,2378,47.19
arunachal-pradesh,2018,2,Financial Services,559,3.64
arunachal-pradesh,2018,2,Others,2043,18.42
arunachal-pradesh,2018,3,Recharge & bill payments,74122,159.98
arunachal-pradesh,2018,3,Peer-to-peer payments,49740,3081.06
arunachal-pradesh,2018,3,Merchant payments,4738,55.06
arunachal-pradesh,2018,3,Financial Services,507,0.72
arunachal-pradesh,2018,3,Others,2039,20.45
arunachal-pradesh,2018,4,Recharge & bill payments,97751,206.63
arunachal-pradesh,2018,4,Peer-to-peer payments,68169,4688.31
arunachal-pradesh,2018,4,Merchant payments,7726,119.99
arunachal-pradesh,2018,4,Financial Services,561,1.01
arunachal-pradesh,2018,4,Others,2222,24.46
arunachal-pradesh,2019,1,Recharge & bill payments,121303,267.97
arunachal-pradesh,2019,1,Peer-to-peer payments,93494,5685.55
arunachal-pradesh,2019,1,Merchant payments,9214,117.27
arunachal-pradesh,2019,1,Financial Services,256,1.41
arunachal-pradesh,2019,1,Others,2239,27.31
arunachal-pradesh,2019,2,Recharge & bill payments,131988,304.21
arunachal-pradesh,2019,2,Peer-to-peer payments,106527,7042.38
arunachal-pradesh,2019,2,Merchant payments,16828,139.56
arunachal-pradesh,2019,2,Financial Services,267,1.61
arunachal-pradesh,2019,2,Others,3046,38.81
arunachal-pradesh,2019,3,Recharge & bill payments,216228,509.46
arunachal-pradesh,2019,3,Peer-to-peer payments,133484,8410.37
arunachal-pradesh,2019,3,Merchant payments,16900,171.78
arunachal-pradesh,2019,3,Financial Services,864,0.64
arunachal-pradesh,2019,3,Others,2758,34.19
