State,Year,Quarter,Brands,Count,Percentage
andhra-pradesh,2020,2,Huawei,379220,3.0
andhra-pradesh,2020,2,Apple,348938,2.0
andhra-pradesh,2020,2,OnePlus,309208,2.0
andhra-pradesh,2020,2,Lenovo,243288,2.0
andhra-pradesh,2020,2,Others,1053205,7.0
andhra-pradesh,2020,3,Xiaomi,3978789,25.0
andhra-pradesh,2020,3,Samsung,3154020,20.0
andhra-pradesh,2020,3,Vivo,2687996,17.0
andhra-pradesh,2020,3,Oppo,1695723,11.0
andhra-pradesh,2020,3,Realme,1207622,8.0
andhra-pradesh,2020,3,Motorola,477313,3.0
andhra-pradesh,2020,3,Huawei,408520,3.0
andhra-pradesh,2020,3,Apple,370327,2.0
andhra-pradesh,2020,3,OnePlus,322028,2.0
andhra-pradesh,2020,3,Lenovo,260912,2.0
andhra-pradesh,2020,3,Others,1129155,7.0
andhra-pradesh,2020,4,Xiaomi,4325662,25.0
andhra-pradesh,2020,4,Samsung,3419866,20.0
andhra-pradesh,2020,4,Vivo,2950572,17.0
andhra-pradesh,2020,4,Oppo,1856052,11.0
andhra-pradesh,2020,4,Realme,1361491,8.0
andhra-pradesh,2020,4,Motorola,506158,3.0
andhra-pradesh,2020,4,Huawei,437125,3.0
andhra-pradesh,2020,4,Apple,394191,2.0
andhra-pradesh,2020,4,OnePlus,336518,2.0
andhra-pradesh,2020,4,Lenovo,276671,2.0
andhra-pradesh,2020,4,Others,1212259,7.0
andhra-pradesh,2021,1,Xiaomi,4644641,25.0
andhra-pradesh,2021,1,Samsung,3635596,20.0
andhra-pradesh,2021,1,Vivo,3245151,18.0
andhra-pradesh,2021,1,Oppo,2010506,11.0
andhra-pradesh,2021,1,Realme,1531645,8.0
andhra-pradesh,2021,1,Motorola,518115,3.0
andhra-pradesh,2021,1,Huawei,455604,2.0
andhra-pradesh,2021,1,Apple,421002,2.0
andhra-pradesh,2021,1,OnePlus,355922,2.0
andhra-pradesh,2021,1,Lenovo,277980,2.0
andhra-pradesh,2021,1,Others,1267571,7.0
andhra-pradesh,2021,2,Xiaomi,4937684,25.0
andhra-pradesh,2021,2,Samsung,3798250,19.0
andhra-pradesh,2021,2,Vivo,3572140,18.0
andhra-pradesh,2021,2,Oppo,2173037,11.0
andhra-pradesh,2021,2,Realme,1817804,9.0
andhra-pradesh,2021,2,Motorola,503072,3.0
andhra-pradesh,2021,2,Apple,450689,2.0
andhra-pradesh,2021,2,Huawei,440324,2.0
andhra-pradesh,2021,2,OnePlus,394851,2.0
andhra-pradesh,2021,2,Lenovo,261201,1.0
andhra-pradesh,2021,2,Others,1271853,6.0
andhra-pradesh,2021,3,Xiaomi,5256707,25.0
andhra-pradesh,2021,3,Vivo,3981492,19.0
andhra-pradesh,2021,3,Samsung,3911188,19.0
andhra-pradesh,2021,3,Oppo,2382363,11.0
andhra-pradesh,2021,3,Realme,2134616,10.0
andhra-pradesh,2021,3,Motorola,486971,2.0
andhra-pradesh,2021,3,Apple,480993,2.0
andhra-pradesh,2021,3,OnePlus,459011,2.0
andhra-pradesh,2021,3,Huawei,435214,2.0
andhra-pradesh,2021,3,Lenovo,245241,1.0
andhra-pradesh,2021,3,Others,1286102,6.0
andhra-pradesh,2021,4,Xiaomi,5518238,25.0
andhra-pradesh,2021,4,Vivo,4381023,19.0
andhra-pradesh,2021,4,Samsung,4017419,18.0
andhra-pradesh,2021,4,Oppo,2580845,11.0
andhra-pradesh,2021,4,Realme,2528884,11.0
andhra-pradesh,2021,4,Apple,544986,2.0
andhra-pradesh,2021,4,OnePlus,525373,2.0
andhra-pradesh,2021,4,Motorola,474422,2.0
andhra-pradesh,2021,4,Huawei,409934,2.0
andhra-pradesh,2021,4,Lenovo,224391,1.0
andhra-pradesh,2021,4,Others,1283514,6.0
andhra-pradesh,2022,1,Xiaomi,5743382,24.0
andhra-pradesh,2022,1,Vivo,4772765,20.0
andhra-pradesh,2022,1,Samsung,4124296,17.0
andhra-pradesh,2022,1,Realme,2864092,12.0
andhra-pradesh,2022,1,Oppo,2780974,12.0
andhra-pradesh,2022,1,Apple,594003,2.0
andhra-pradesh,2022,1,OnePlus,580737,2.0
andhra-pradesh,2022,1,Motorola,463652,2.0
andhra-pradesh,2022,1,Huawei,401477,2.0
andhra-pradesh,2022,1,Lenovo,222586,1.0
andhra-pradesh,2022,1,Others,1309987,5.0
arunachal-pradesh,2018,1,Xiaomi,5212,24.0
arunachal-pradesh,2018,1,Samsung,4354,20.0
arunachal-pradesh,2018,1,Vivo,3523,16.0
arunachal-pradesh,2018,1,Oppo,2608,12.0
arunachal-pradesh,2018,1,Realme,1297,6.0
arunachal-pradesh,2018,1,Apple,628,3.0
arunachal-pradesh,2018,1,Gionee,563,3.0
arunachal-pradesh,2018,1,Lenovo,420,2.0
arunachal-pradesh,2018,1,OnePlus,403,2.0
arunachal-pradesh,2018,1,Motorola,343,2.0
arunachal-pradesh,2018,1,Others,2144,10.0
arunachal-pradesh,2018,2,Xiaomi,8058,25.0
arunachal-pradesh,2018,2,Samsung,6633,20.0
arunachal-pradesh,2018,2,Vivo,5591,17.0
arunachal-pradesh,2018,2,Oppo,4204,13.0
arunachal-pradesh,2018,2,Realme,1943,6.0
arunachal-pradesh,2018,2,Apple,869,3.0
arunachal-pradesh,2018,2,Gionee,730,2.0
arunachal-pradesh,2018,2,Lenovo,581,2.0
arunachal-pradesh,2018,2,OnePlus,554,2.0
arunachal-pradesh,2018,2,Motorola,514,2.0
arunachal-pradesh,2018,2,Others,3206,10.0
arunachal-pradesh,2018,3,Xiaomi,11250,24.0
arunachal-pradesh,2018,3,Samsung,9307,20.0
arunachal-pradesh,2018,3,Vivo,8226,18.0
arunachal-pradesh,2018,3,Oppo,5992,13.0
arunachal-pradesh,2018,3,Realme,2676,6.0
arunachal-pradesh,2018,3,Apple,1153,3.0
arunachal-pradesh,2018,3,Gionee,1024,2.0
arunachal-pradesh,2018,3,OnePlus,740,2.0
arunachal-pradesh,2018,3,Motorola,722,2.0
arunachal-pradesh,2018,3,Lenovo,629,1.0
arunachal-pradesh,2018,3,Others,4203,9.0
arunachal-pradesh,2018,4,Xiaomi,15097,24.0
arunachal-pradesh,2018,4,Samsung,12580,20.0
arunachal-pradesh,2018,4,Vivo,11624,19.0
arunachal-pradesh,2018,4,Oppo,8328,13.0
arunachal-pradesh,2018,4,Realme,3613,6.0
arunachal-pradesh,2018,4,Apple,1517,2.0
arunachal-pradesh,2018,4,Gionee,1188,2.0
arunachal-pradesh,2018,4,Motorola,944,2.0
arunachal-pradesh,2018,4,OnePlus,896,1.0
arunachal-pradesh,2018,4,Lenovo,831,1.0
arunachal-pradesh,2018,4,Others,5234,8.0
arunachal-pradesh,2019,1,Xiaomi,18809,24.0
arunachal-pradesh,2019,1,Samsung,15537,20.0
arunachal-pradesh,2019,1,Vivo,14892,19.0
arunachal-pradesh,2019,1,Oppo,10738,14.0
arunachal-pradesh,2019,1,Realme,4413,6.0
arunachal-pradesh,2019,1,Apple,1870,2.0
arunachal-pradesh,2019,1,Gionee,1310,2.0
arunachal-pradesh,2019,1,Motorola,1137,1.0
arunachal-pradesh,2019,1,OnePlus,1114,1.0
