State,Year,Quarter,Pincode,Transaction_count,Transaction_amount
andhra-pradesh,2019,2,530001,2602865,52187.96
andhra-pradesh,2019,2,520001,1828617,38233.9
andhra-pradesh,2019,2,517501,949187,16699.5
andhra-pradesh,2019,2,522001,839909,17594.19
andhra-pradesh,2019,2,530016,793798,12579.16
andhra-pradesh,2019,2,517507,760335,14128.63
andhra-pradesh,2019,2,515001,567306,12821.19
andhra-pradesh,2019,2,530003,520142,7181.71
andhra-pradesh,2019,2,520010,490697,9739.84
andhra-pradesh,2019,2,530017,480905,6507.1
andhra-pradesh,2019,3,530001,2944756,66932.58
andhra-pradesh,2019,3,520001,1905190,44145.03
andhra-pradesh,2019,3,517501,1434209,22039.33
andhra-pradesh,2019,3,530016,1196020,16581.63
andhra-pradesh,2019,3,517507,1060513,18549.27
andhra-pradesh,2019,3,522001,1003916,22165.33
andhra-pradesh,2019,3,515001,868052,16678.27
andhra-pradesh,2019,3,530003,858005,9709.93
andhra-pradesh,2019,3,530017,799271,9119.39
andhra-pradesh,2019,3,530026,711726,10950.57
andhra-pradesh,2019,4,530001,4185063,91603.87
andhra-pradesh,2019,4,520001,2544877,59330.07
andhra-pradesh,2019,4,517501,1920211,30730.84
andhra-pradesh,2019,4,530016,1591033,22951.84
andhra-pradesh,2019,4,530026,1438154,25093.95
andhra-pradesh,2019,4,517507,1406768,24784.59
andhra-pradesh,2019,4,522001,1324202,29273.14
andhra-pradesh,2019,4,515001,1202983,23768.7
andhra-pradesh,2019,4,530003,1131832,13391.03
andhra-pradesh,2019,4,530017,1084796,12669.27
andhra-pradesh,2020,1,530026,6695271,152586.57
andhra-pradesh,2020,1,517501,2196548,37314.04
andhra-pradesh,2020,1,530016,1661816,25933.25
andhra-pradesh,2020,1,517507,1554974,27196.21
andhra-pradesh,2020,1,515001,1346804,26964.28
andhra-pradesh,2020,1,530003,1159480,15199.55
andhra-pradesh,2020,1,524002,1125194,26533.4
andhra-pradesh,2020,1,530017,1104748,14123.81
andhra-pradesh,2020,1,520010,1098395,20595.47
andhra-pradesh,2020,1,522001,1058410,25757.24
andhra-pradesh,2020,2,530026,4994637,128179.03
andhra-pradesh,2020,2,517501,1708935,32036.8
andhra-pradesh,2020,2,517507,1575118,28547.11
andhra-pradesh,2020,2,524002,1553283,39939.63
andhra-pradesh,2020,2,530016,1067022,18936.3
andhra-pradesh,2020,2,516001,1066066,26160.99
andhra-pradesh,2020,2,515001,1026587,24477.56
andhra-pradesh,2020,2,518002,979822,20158.21
andhra-pradesh,2020,2,522001,963666,26780.51
andhra-pradesh,2020,2,520002,956641,27670.45
andhra-pradesh,2020,3,524002,5194663,137187.44
andhra-pradesh,2020,3,530026,4159532,103832.08
andhra-pradesh,2020,3,517501,2735691,55447.2
andhra-pradesh,2020,3,516001,2534360,66375.77
andhra-pradesh,2020,3,517507,2306174,45945.11
andhra-pradesh,2020,3,520002,2238996,65431.84
andhra-pradesh,2020,3,530016,1921871,35608.99
andhra-pradesh,2020,3,515001,1669413,41167.59
